Employee,JobFamily,Total Benefits,Total Compensation,Percentage 
31162,Street Transit,21248.15125,64669.18625,32.85668566766603
42312,Street Transit,32236.82,98120.24625000001,32.85440185083106
40638,Street Transit,28331.7875,86234.71500000001,32.854271623672666
4855,Agriculture & Horticulture,26602.765714285713,80975.48857142858,32.852862247097626
40353,Nursing,29511.1375,89830.05125,32.8521882035551
3503,Street Transit,31520.18625,95945.615,32.85213842237605
31102,Street Transit,34088.232500000006,103763.66500000001,32.851800772457295
38244,Housekeeping & Laundry,29234.388750000002,89000.23624999999,32.847540615376744
780,Street Transit,37311.963749999995,113597.40000000002,32.845790264565906
6115,Street Transit,39357.5925,119827.56,32.845192291322626
32751,Street Transit,29286.829999999998,89168.379,32.84441225515605
11893,"Clerical, Secretarial & Steno",23639.439999999995,71978.141,32.842526455358154
5086,Nursing,28360.488750000004,86358.24875,32.84050934393225
52037,Street Transit,26877.070000000003,81843.04666666668,32.839772093854116
52144,Street Transit,38784.793750000004,118104.16875000001,32.83947904675465
37039,"Clerical, Secretarial & Steno",30010.535000000003,91387.76875,32.83867787832385
18615,Protection & Apprehension,27011.42125,82260.255,32.836539650892156
17566,Street Transit,19130.818750000002,58261.44375,32.83615633023169
38290,Street Transit,25961.76111111111,79066.21444444444,32.835467454121044
4067,Street Transit,37921.26875,115491.5625,32.83466595232877
9946,Street Transit,39119.00875,119147.52375,32.83241440424817
33651,Street Transit,36169.063749999994,110171.9375,32.82965206089799
51181,Street Transit,34297.31375,104471.84875,32.82923980035339
32855,Semi-Skilled & General Labor,25527.456666666665,77760.34,32.828375836148176
6784,Nursing,22222.687142857143,67697.67571428571,32.82636650133568
37129,Nursing,28370.24375,86426.00875,32.82604873269703
518,"Payroll, Billing & Accounting",4981.7,15177.36,32.82323144473083
26970,Nursing,29440.2725,89694.00499999999,32.82301030040971
19620,Street Transit,39384.78125,119994.765,32.8220829050334
31091,Street Transit,38570.746250000004,117516.90499999998,32.821444923179364
52269,"Clerical, Secretarial & Steno",21308.795000000002,64923.6225,32.82132786105705
19414,Street Transit,36797.80499999999,112127.9875,32.81768077751328
30344,Nursing,29119.971250000002,88734.08125000002,32.8171214935524
13516,Street Transit,32917.55500000001,100306.085,32.817106758777406
25714,Street Transit,28065.16333333333,85520.69666666667,32.816808593974265
11019,Agriculture & Horticulture,21310.394444444442,64941.696666666656,32.81465612736703
36720,Street Transit,34821.155,106117.67250000002,32.813719128639946
46773,Correction & Detention,13859.079999999998,42243.826,32.8073503569492
46301,Street Transit,37770.99375,115145.44625000001,32.8028549804678
35537,Street Transit,38000.392499999994,115845.12625,32.802754617395905
30359,Correction & Detention,14662.638749999998,44701.09875,32.8015175465905
2701,Street Transit,36530.01375,111368.72,32.800963995994564
39342,Housekeeping & Laundry,16259.452857142858,49575.618571428575,32.79727681807183
22898,Street Transit,35971.35125,109679.60125,32.79675604218154
40993,Housekeeping & Laundry,9719.974999999999,29638.949999999997,32.79459967374013
7849,Street Transit,22072.478750000002,67305.60625,32.79441339256937
32794,Street Transit,26154.41833333333,79754.59833333334,32.79361802315306
18521,Street Transit,29139.25857142857,88858.42857142855,32.7929033181192
14688,Street Transit,28736.44428571429,87637.16,32.790250489306466
29761,Protection & Apprehension,18851.444,57493.974,32.78855624069402
33888,Street Transit,29540.893,90096.658,32.788000860142894
2548,Street Transit,38371.52125,117030.78749999999,32.78754426052205
17161,Street Transit,39286.21125,119825.82375000001,32.786097370768125
49833,Street Transit,23335.614,71186.342,32.78102701217602
12324,Nursing,27419.42625,83648.46375000001,32.779354241278575
23737,Street Transit,39759.957500000004,121300.27249999999,32.77812710602114
23248,Street Transit,37192.92125,113473.2075,32.7768308214959
28011,Street Transit,39469.715,120420.08374999998,32.77668788367705
325,Street Transit,25279.618333333332,77130.03833333333,32.77532188442881
34192,Nursing,30503.469999999998,93069.51250000001,32.77493260749592
36304,Street Transit,28726.482500000002,87650.255,32.77398622513991
40878,Street Transit,26285.829999999998,80204.53285714285,32.77349678829161
51242,Protection & Apprehension,23359.62,71283.63249999999,32.769963006585
54224,Street Transit,33071.72125,100925.035,32.76860022887285
21121,Street Transit,37024.98625,112995.79625,32.76669352201675
1214,Street Transit,11067.1875,33776.613750000004,32.76582899018407
23816,Street Transit,38593.19125,117785.6725,32.765607591194936
5908,Protection & Apprehension,16771.59875,51188.49999999999,32.76438799730409
37105,"Clerical, Secretarial & Steno",8495.938571428573,25932.51,32.76172870049437
20,Street Transit,28247.13375,86223.9525,32.760193578460694
28865,Street Transit,39372.3575,120183.62250000001,32.76016871599955
38107,"Clerical, Secretarial & Steno",19158.841666666664,58485.73833333334,32.758142775718845
25433,Nursing,17843.379999999997,54471.00285714285,32.757575708302156
43952,Street Transit,28968.848749999997,88435.11875,32.75717741940613
29711,Street Transit,39051.53125,119217.51375000001,32.75653888562996
32776,Street Transit,34747.24625,106081.93625,32.75510183761375
18336,Nursing,17611.02888888889,53766.74555555555,32.75450040153899
8525,Dietary & Food,11236.0475,34304.07875,32.75426103667046
34106,Revenue,25644.4525,78295.14,32.753568740026516
185,Street Transit,27444.545000000002,83791.42374999999,32.75340574458255
18825,Street Transit,21229.92125,64823.16875,32.750514452442594
37367,"Clerical, Secretarial & Steno",25163.253749999996,76834.34999999999,32.75000536869252
44493,Street Transit,8889.41,27144.075000000004,32.7489884993318
47636,Human Services,21433.32125,65448.88625000001,32.74818331992624
46684,Street Transit,25390.525,77537.86750000001,32.74596763961815
39262,Semi-Skilled & General Labor,18353.925714285717,56052.85571428571,32.74396189168291
677,Street Transit,28124.011249999996,85894.0025,32.74269498618369
21507,Nursing,7588.42,23176.54,32.74181564633893
16857,Skilled Labor,5700.790000000001,17412.129999999997,32.740336765232065
48375,Street Transit,27155.468,82942.244,32.74021378056759
43006,Street Transit,38610.401249999995,117929.84125,32.74014519204654
17531,Street Transit,32309.971249999995,98687.08125,32.739818465347504
40591,Street Transit,27998.628749999996,85524.38125,32.73759873006973
55110,Med Therapy & Auxiliary,27863.5325,85119.47125,32.73461652289105
450,Street Transit,34860.021250000005,106499.24875,32.73264521502083
41967,Street Transit,27424.14125,83785.22125,32.73147798723513
12057,Street Transit,33588.01125,102620.69874999998,32.73024999744509
13680,Street Transit,38889.26125,118819.08500000002,32.72981040882447
39926,Street Transit,38259.895000000004,116900.8675,32.72849536381756
32096,Street Transit,38236.192500000005,116830.0075,32.728057900706716
29974,Housekeeping & Laundry,21195.1675,64768.92,32.724287358813456
37721,Nursing,21580.030000000002,65950.39428571428,32.72160876932698
43845,Nursing,27872.903749999998,85190.60999999999,32.718281686209316
19977,Street Transit,38465.2525,117565.5225,32.718140218362066
26605,Street Transit,29617.876666666663,90526.23333333334,32.71745170000445
44674,Street Transit,36246.9925,110792.27249999999,32.71617386492366
50092,Housekeeping & Laundry,13066.36375,39944.55499999999,32.711251258150206
31887,Street Transit,29411.51625,89915.02875,32.710345154619105
54933,Street Transit,31206.60625,95421.3,32.70402546391634
43475,Nursing,15885.86857142857,48575.27714285714,32.70360871994436
15110,Nursing,25332.71,77468.206,32.70078307996444
47704,Street Transit,31347.776250000003,95863.63749999998,32.70038261379348
38587,Street Transit,24207.673749999998,74038.59875,32.696018237379185
29546,Street Transit,27387.668750000004,83771.14500000002,32.693439668277186
33854,Human Services,20590.94625,62982.833750000005,32.69294984683029
42565,Street Transit,13595.26625,41584.9875,32.69272655185961
10981,Street Transit,26852.83285714286,82138.42714285714,32.69216832024281
42939,Housekeeping & Laundry,25856.68875,79095.9525,32.6902805171984
13474,Housekeeping & Laundry,29228.56875,89419.595,32.68698404415721
3063,Semi-Skilled & General Labor,23128.9475,70760.9425,32.686036509476956
51773,Street Transit,19610.3625,59996.221249999995,32.68599603679207
10318,Street Transit,29360.406666666666,89825.88,32.685910415424445
32506,Nursing,9366.63,28660.01,32.68187973416617
7117,Street Transit,31405.55625,96095.21375,32.68170705328183
41551,Street Transit,23501.7025,71911.12375,32.68159538391305
7134,Street Transit,32091.66,98196.34625,32.68111414074126
3871,Semi-Skilled & General Labor,16503.14,50497.90666666667,32.68083983943361
42208,Street Transit,19393.652000000002,59344.971999999994,32.67952001055793
47012,Hospital Administration,21604.79,66119.4825,32.67537673181275
49121,Street Transit,39016.5325,119421.78125000001,32.671202934347455
48195,Street Transit,20228.151250000003,61923.4175,32.66639999318514
36180,Med Therapy & Auxiliary,27779.6025,85045.27375,32.66448713147919
35322,Street Transit,21757.18,66608.07666666666,32.664477175765924
26255,Protection & Apprehension,19701.341999999997,60314.91799999999,32.66412796913693
54896,Street Transit,27959.363,85598.00600000001,32.663568120967675
34093,Street Transit,24850.485,76084.17374999999,32.66183198841665
36769,Med Therapy & Auxiliary,28869.403749999998,88398.0925,32.65840125452933
30004,Agriculture & Horticulture,18530.611,56744.216,32.6563873928578
22184,Housekeeping & Laundry,29561.86375,90531.88875,32.65353695605959
8888,Street Transit,33706.8625,103229.76000000001,32.6522724648396
6654,Street Transit,36704.51625,112415.93125,32.65063576120133
50799,Street Transit,39767.854999999996,121809.47624999999,32.64758721922507
54240,"Clerical, Secretarial & Steno",29206.12,89462.87124999998,32.64607942034948
40201,Semi-Skilled & General Labor,21439.453333333335,65673.43000000001,32.64555137950512
28938,Street Transit,15414.445,47219.371250000004,32.644324970760806
