Name of Restaurants,City,Country Code,Day of Week
Alfred's Pizzeria,Perth,AU,5
,,,
Alfred's Pizzeria,Perth,AU,6
,,,
Alice's Makan,Sydney,AU,0
,,,
Alice's Makan,Sydney,AU,1
,,,
Alice's Makan,Sydney,AU,2
,,,
Alice's Makan,Sydney,AU,3
,,,
Alice's Makan,Sydney,AU,4
,,,
Aliment,Perth,AU,0
,,,
Aliment,Perth,AU,1
,,,
Aliment,Perth,AU,2
,,,
Aliment,Perth,AU,3
,,,
Aliment,Perth,AU,4
,,,
Aliment,Perth,AU,5
,,,
Aliment,Perth,AU,6
,,,
Alpha Gourmet Cafe,Sydney,AU,0
,,,
Alpha Gourmet Cafe,Sydney,AU,1
,,,
Alpha Gourmet Cafe,Sydney,AU,2
,,,
Alpha Gourmet Cafe,Sydney,AU,3
,,,
Alpha Gourmet Cafe,Sydney,AU,4
,,,
Alpha Gourmet Cafe,Sydney,AU,5
,,,
Alpha Gourmet Cafe,Sydney,AU,6
,,,
Alpha Restaurant,Sydney,AU,0
,,,
Alpha Restaurant,Sydney,AU,0
,,,
Alpha Restaurant,Sydney,AU,1
,,,
Alpha Restaurant,Sydney,AU,1
,,,
Alpha Restaurant,Sydney,AU,2
,,,
Alpha Restaurant,Sydney,AU,2
,,,
Alpha Restaurant,Sydney,AU,3
,,,
Alpha Restaurant,Sydney,AU,3
,,,
Alpha Restaurant,Sydney,AU,4
,,,
Alpha Restaurant,Sydney,AU,4
,,,
Alpha Restaurant,Sydney,AU,5
,,,
Alpha Restaurant,Sydney,AU,6
,,,
Alto's Kebab House,Perth,AU,0
,,,
Alto's Kebab House,Perth,AU,1
,,,
Alto's Kebab House,Perth,AU,2
,,,
Alto's Kebab House,Perth,AU,3
,,,
Alto's Kebab House,Perth,AU,4
,,,
Alto's Kebab House,Perth,AU,5
,,,
Alto's Kebab House,Perth,AU,6
,,,
Ambar,Sydney,AU,0
,,,
Ambar,Sydney,AU,1
,,,
Ambar,Sydney,AU,2
,,,
Ambar,Sydney,AU,3
,,,
Ambar,Sydney,AU,4
,,,
Amigos,Melbourne,AU,0
,,,
Amigos,Melbourne,AU,1
,,,
Amigos,Melbourne,AU,2
,,,
Amigos,Melbourne,AU,3
,,,
Amigos,Melbourne,AU,4
,,,
Amigos,Melbourne,AU,5
,,,
Amigos,Melbourne,AU,6
,,,
Angel Cafe Bar-Licensed,Sydney,AU,0
,,,
Angel Cafe Bar-Licensed,Sydney,AU,1
,,,
Angel Cafe Bar-Licensed,Sydney,AU,2
,,,
Angel Cafe Bar-Licensed,Sydney,AU,3
,,,
Angel Cafe Bar-Licensed,Sydney,AU,4
,,,
Angel Falls Grill,Perth,AU,0
,,,
Angel Falls Grill,Perth,AU,1
,,,
Angel Falls Grill,Perth,AU,2
,,,
Angel Falls Grill,Perth,AU,3
,,,
Angel Falls Grill,Perth,AU,4
,,,
Angel Falls Grill,Perth,AU,5
,,,
Angel Falls Grill,Perth,AU,6
,,,
Ants Bistro,Melbourne,AU,1
,,,
Ants Bistro,Melbourne,AU,1
,,,
Ants Bistro,Melbourne,AU,2
,,,
Ants Bistro,Melbourne,AU,2
,,,
Ants Bistro,Melbourne,AU,3
,,,
Ants Bistro,Melbourne,AU,3
,,,
Ants Bistro,Melbourne,AU,4
,,,
Ants Bistro,Melbourne,AU,4
,,,
Ants Bistro,Melbourne,AU,5
,,,
Ants Bistro,Melbourne,AU,6
,,,
Ants Bistro,Melbourne,AU,6
,,,
Appetito,The Rocks,AU,0
,,,
Appetito,The Rocks,AU,1
,,,
Appetito,The Rocks,AU,2
,,,
Appetito,The Rocks,AU,3
,,,
Appetito,The Rocks,AU,4
,,,
Appetito,The Rocks,AU,5
,,,
Appetito,The Rocks,AU,6
,,,
Aqua Bar,Perth,AU,3
,,,
Aqua Bar,Perth,AU,4
,,,
Aqua Bar,Perth,AU,5
,,,
Aqua Bar,Perth,AU,6
,,,
Archie's @ Belconnen,Canberra,AU,0
,,,
Archie's @ Belconnen,Canberra,AU,1
,,,
Archie's @ Belconnen,Canberra,AU,2
,,,
Archie's @ Belconnen,Canberra,AU,3
,,,
Archie's @ Belconnen,Canberra,AU,4
,,,
Archie's @ Belconnen,Canberra,AU,5
,,,
Archie's @ Belconnen,Canberra,AU,6
,,,
Architects and Heroes,Subiaco,AU,0
,,,
Architects and Heroes,Subiaco,AU,1
,,,
Architects and Heroes,Subiaco,AU,2
,,,
Architects and Heroes,Subiaco,AU,3
,,,
Architects and Heroes,Subiaco,AU,4
,,,
Architects and Heroes,Subiaco,AU,5
,,,
ARIA Restaurant Sydney,Sydney,AU,0
,,,
ARIA Restaurant Sydney,Sydney,AU,0
,,,
ARIA Restaurant Sydney,Sydney,AU,1
,,,
ARIA Restaurant Sydney,Sydney,AU,1
,,,
ARIA Restaurant Sydney,Sydney,AU,2
,,,
ARIA Restaurant Sydney,Sydney,AU,2
,,,
ARIA Restaurant Sydney,Sydney,AU,3
,,,
ARIA Restaurant Sydney,Sydney,AU,3
,,,
ARIA Restaurant Sydney,Sydney,AU,4
,,,
ARIA Restaurant Sydney,Sydney,AU,4
,,,
ARIA Restaurant Sydney,Sydney,AU,5
,,,
ARIA Restaurant Sydney,Sydney,AU,6
,,,
Arintji,Melbourne,AU,0
,,,
Arintji,Melbourne,AU,1
,,,
Arintji,Melbourne,AU,2
,,,
Arintji,Melbourne,AU,3
,,,
Arintji,Melbourne,AU,4
,,,
Arintji,Melbourne,AU,5
,,,
Arintji,Melbourne,AU,6
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,0
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,0
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,1
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,1
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,2
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,2
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,3
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,3
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,4
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,4
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,5
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,5
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,6
,,,
Arirang Korean Barbecue Restaurant,Perth,AU,6
,,,
Arisun Express,Sydney,AU,0
,,,
Arisun Express,Sydney,AU,1
,,,
Arisun Express,Sydney,AU,2
,,,
Arisun Express,Sydney,AU,3
,,,
Arisun Express,Sydney,AU,4
,,,
Arisun Express,Sydney,AU,5
,,,
Arisun Express,Sydney,AU,6
,,,
Arisun,Sydney,AU,0
,,,
Arisun,Sydney,AU,1
,,,
Arisun,Sydney,AU,2
,,,
Arisun,Sydney,AU,3
,,,
Arisun,Sydney,AU,4
,,,
Arisun,Sydney,AU,5
,,,
Arisun,Sydney,AU,6
,,,
Aromas Regent,Brisbane,AU,0
,,,
Aromas Regent,Brisbane,AU,1
,,,
Aromas Regent,Brisbane,AU,2
,,,
Aromas Regent,Brisbane,AU,3
,,,
Aromas Regent,Brisbane,AU,4
,,,
Aromas Regent,Brisbane,AU,5
,,,
Aromas Regent,Brisbane,AU,6
,,,
Art Starter Coffee,Perth,AU,0
,,,
Art Starter Coffee,Perth,AU,1
,,,
Art Starter Coffee,Perth,AU,2
,,,
Art Starter Coffee,Perth,AU,3
,,,
Art Starter Coffee,Perth,AU,4
,,,
Art Starter Coffee,Perth,AU,5
,,,
Art Starter Coffee,Perth,AU,6
,,,
Arthouse Dine,Perth,AU,0
,,,
Arthouse Dine,Perth,AU,1
,,,
Arthouse Dine,Perth,AU,2
,,,
Arthouse Dine,Perth,AU,3
,,,
Arthouse Dine,Perth,AU,4
,,,
Arthouse Dine,Perth,AU,5
,,,
Arthouse Dine,Perth,AU,6
,,,
As You Like It,Canberra,AU,0
,,,
As You Like It,Canberra,AU,1
,,,
As You Like It,Canberra,AU,2
,,,
As You Like It,Canberra,AU,3
,,,
As You Like It,Canberra,AU,4
,,,
Asana by Pete Evans Cafe,Brisbane,AU,0
,,,
Asana by Pete Evans Cafe,Brisbane,AU,1
,,,
Asana by Pete Evans Cafe,Brisbane,AU,2
,,,
Asana by Pete Evans Cafe,Brisbane,AU,3
,,,
Asana by Pete Evans Cafe,Brisbane,AU,4
,,,
Asana by Pete Evans Cafe,Brisbane,AU,5
,,,
Asana by Pete Evans Cafe,Brisbane,AU,6
,,,
Asian Corner,Perth,AU,0
,,,
Asian Corner,Perth,AU,1
,,,
Asian Corner,Perth,AU,2
,,,
Asian Corner,Perth,AU,3
,,,
Asian Corner,Perth,AU,4
,,,
Asian Corner,Perth,AU,5
,,,
Asian Corner,Perth,AU,6
,,,
Asian Noodle House,Phillip,AU,0
,,,
Asian Noodle House,Phillip,AU,0
,,,
Asian Noodle House,Phillip,AU,1
,,,
Asian Noodle House,Phillip,AU,1
,,,
Asian Noodle House,Phillip,AU,2
,,,
Asian Noodle House,Phillip,AU,2
,,,
Asian Noodle House,Phillip,AU,3
,,,
Asian Noodle House,Phillip,AU,3
,,,
Asian Noodle House,Phillip,AU,4
,,,
Asian Noodle House,Phillip,AU,4
,,,
Asian Noodle House,Phillip,AU,5
,,,
Asian Noodle House,Phillip,AU,5
,,,
Asili,Canberra,AU,0
,,,
Asili,Canberra,AU,1
,,,
Asili,Canberra,AU,2
,,,
Asili,Canberra,AU,3
,,,
Asili,Canberra,AU,4
,,,
Asili,Canberra,AU,5
,,,
Assámm,Sydney,AU,0
,,,
Assámm,Sydney,AU,1
,,,
Assámm,Sydney,AU,2
,,,
Assámm,Sydney,AU,3
,,,
Assámm,Sydney,AU,4
,,,
Assámm,Sydney,AU,5
,,,
Assámm,Sydney,AU,6
,,,
Atticus Finch,Brisbane,AU,0
,,,
Atticus Finch,Brisbane,AU,1
,,,
Atticus Finch,Brisbane,AU,2
,,,
Atticus Finch,Brisbane,AU,3
,,,
Atticus Finch,Brisbane,AU,4
,,,
Atticus Finch,Brisbane,AU,5
,,,
Atticus Finch,Brisbane,AU,6
,,,
Aubergine,Griffith,AU,0
,,,
Aubergine,Griffith,AU,1
,,,
Aubergine,Griffith,AU,2
,,,
Aubergine,Griffith,AU,3
,,,
Aubergine,Griffith,AU,4
,,,
Aubergine,Griffith,AU,5
,,,
Authentic Bites Dumpling House,Perth,AU,0
,,,
Authentic Bites Dumpling House,Perth,AU,0
,,,
Authentic Bites Dumpling House,Perth,AU,1
,,,
Authentic Bites Dumpling House,Perth,AU,1
,,,
Authentic Bites Dumpling House,Perth,AU,2
,,,
Authentic Bites Dumpling House,Perth,AU,2
,,,
Authentic Bites Dumpling House,Perth,AU,3
,,,
Authentic Bites Dumpling House,Perth,AU,3
,,,
Authentic Bites Dumpling House,Perth,AU,4
,,,
Authentic Bites Dumpling House,Perth,AU,4
,,,
Authentic Bites Dumpling House,Perth,AU,5
,,,
Authentic Bites Dumpling House,Perth,AU,5
,,,
Authentic Bites Dumpling House,Perth,AU,6
,,,
Authentic Bites Dumpling House,Perth,AU,6
,,,
Avenue Road Cafe,Sydney,AU,0
,,,
Avenue Road Cafe,Sydney,AU,1
,,,
Avenue Road Cafe,Sydney,AU,2
,,,
Avenue Road Cafe,Sydney,AU,3
,,,
Avenue Road Cafe,Sydney,AU,4
,,,
Avenue Road Cafe,Sydney,AU,5
,,,
Avenue Road Cafe,Sydney,AU,6
,,,
Axil Coffee Roasters,Melbourne,AU,0
,,,
Axil Coffee Roasters,Melbourne,AU,1
,,,
Axil Coffee Roasters,Melbourne,AU,2
,,,
Axil Coffee Roasters,Melbourne,AU,3
,,,
Axil Coffee Roasters,Melbourne,AU,4
,,,
Añada,Melbourne,AU,0
,,,
Añada,Melbourne,AU,1
,,,
Añada,Melbourne,AU,2
,,,
Añada,Melbourne,AU,3
,,,
Añada,Melbourne,AU,4
,,,
Añada,Melbourne,AU,5
,,,
Añada,Melbourne,AU,6
,,,
Babbo,Melbourne,AU,0
,,,
Babbo,Melbourne,AU,1
,,,
Babbo,Melbourne,AU,2
,,,
Babbo,Melbourne,AU,3
,,,
Babbo,Melbourne,AU,4
,,,
Babooshka,Perth,AU,0
,,,
Babooshka,Perth,AU,1
,,,
Babooshka,Perth,AU,2
,,,
Babooshka,Perth,AU,3
,,,
Babooshka,Perth,AU,4
,,,
Babooshka,Perth,AU,5
,,,
Babooshka,Perth,AU,6
,,,
Baby,Melbourne,AU,0
,,,
Baby,Melbourne,AU,1
,,,
Baby,Melbourne,AU,2
,,,
Baby,Melbourne,AU,3
,,,
Baby,Melbourne,AU,4
,,,
Baby,Melbourne,AU,5
,,,
Baby,Melbourne,AU,6
,,,
Bad Boys,Melbourne,AU,0
,,,
Bad Boys,Melbourne,AU,1
,,,
Bad Boys,Melbourne,AU,2
,,,
Bad Boys,Melbourne,AU,3
,,,
Bad Boys,Melbourne,AU,4
,,,
Bad Boys,Melbourne,AU,5
,,,
Bad Boys,Melbourne,AU,6
,,,
Badger Vs Hawk,Melbourne,AU,0
,,,
Badger Vs Hawk,Melbourne,AU,1
,,,
Badger Vs Hawk,Melbourne,AU,2
,,,
Badger Vs Hawk,Melbourne,AU,3
,,,
Badger Vs Hawk,Melbourne,AU,4
,,,
Ba'get - Russell Street,Melbourne,AU,0
,,,
Ba'get - Russell Street,Melbourne,AU,1
,,,
Ba'get - Russell Street,Melbourne,AU,2
,,,
Ba'get - Russell Street,Melbourne,AU,3
,,,
Ba'get - Russell Street,Melbourne,AU,4
,,,
Ba'get - Russell Street,Melbourne,AU,5
,,,
Ba'get - Russell Street,Melbourne,AU,6
,,,
Baia The Italian,Sydney,AU,0
,,,
Baia The Italian,Sydney,AU,1
,,,
